lat,lon,deltaN,topo
-89.500000,-179.500000,84.763629,-1737737.241135
-89.500000,-178.500000,84.753730,-1737711.327081
-89.500000,-177.500000,84.742168,-1737684.979716
-89.500000,-176.500000,84.729010,-1737658.325065
-89.500000,-175.500000,84.714328,-1737631.485561
-89.500000,-174.500000,84.698195,-1737604.579245
-89.500000,-173.500000,84.680690,-1737577.719080
-89.500000,-172.500000,84.661892,-1737551.012377
-89.500000,-171.500000,84.641885,-1737524.560320
-89.500000,-170.500000,84.620756,-1737498.457596
-89.500000,-169.500000,84.598597,-1737472.792090
-89.500000,-168.500000,84.575503,-1737447.644655
-89.500000,-167.500000,84.551571,-1737423.088942
-89.500000,-166.500000,84.526904,-1737399.191258
-89.500000,-165.500000,84.501607,-1737376.010468
-89.500000,-164.500000,84.475788,-1737353.597905
-89.500000,-163.500000,84.449561,-1737331.997292
-89.500000,-162.500000,84.423038,-1737311.244677
-89.500000,-161.500001,84.396338,-1737291.368350
-89.500000,-160.500001,84.369578,-1737272.388767
-89.500000,-159.500001,84.342880,-1737254.318474
-89.500000,-158.500001,84.316364,-1737237.162018
-89.500000,-157.500001,84.290149,-1737220.915879
-89.500000,-156.500001,84.264357,-1737205.568405
-89.500000,-155.500001,84.239105,-1737191.099766
-89.500000,-154.500001,84.214507,-1737177.481955
-89.500000,-153.500001,84.190676,-1737164.678817
-89.500000,-152.500001,84.167717,-1737152.646140
-89.500000,-151.500001,84.145731,-1737141.331814
-89.500000,-150.500001,84.124810,-1737130.676069
-89.500000,-149.500001,84.105041,-1737120.611793
-89.500000,-148.500001,84.086499,-1737111.064962
-89.500000,-147.500001,84.069248,-1737101.955156
-89.500000,-146.500001,84.053341,-1737093.196199
-89.500000,-145.500001,84.038820,-1737084.696896
-89.500000,-144.500001,84.025711,-1737076.361894
-89.500000,-143.500001,84.014025,-1737068.092635
-89.500000,-142.500001,84.003760,-1737059.788417
-89.500000,-141.500001,83.994895,-1737051.347550
-89.500000,-140.500001,83.987393,-1737042.668587
-89.500000,-139.500001,83.981200,-1737033.651619
-89.500000,-138.500001,83.976244,-1737024.199634
-89.500000,-137.500001,83.972435,-1737014.219892
-89.500000,-136.500001,83.969664,-1737003.625332
-89.500000,-135.500001,83.967804,-1736992.335960
-89.500000,-134.500001,83.966711,-1736980.280221
-89.500000,-133.500001,83.966225,-1736967.396317
-89.500000,-132.500001,83.966165,-1736953.633465
-89.500000,-131.500001,83.966338,-1736938.953065
-89.500000,-130.500001,83.966533,-1736923.329758
-89.500000,-129.500001,83.966528,-1736906.752372
-89.500000,-128.500001,83.966085,-1736889.224717
-89.500000,-127.500001,83.964956,-1736870.766239
-89.500000,-126.500001,83.962883,-1736851.412493
-89.500000,-125.500002,83.959598,-1736831.215463
-89.500000,-124.500002,83.954830,-1736810.243679
-89.500000,-123.500002,83.948298,-1736788.582160
-89.500000,-122.500002,83.939722,-1736766.332167
-89.500000,-121.500002,83.928820,-1736743.610757
-89.500000,-120.500002,83.915308,-1736720.550163
-89.500000,-119.500002,83.898908,-1736697.296979
-89.500000,-118.500002,83.879345,-1736674.011174
-89.500000,-117.500002,83.856353,-1736650.864937
-89.500000,-116.500002,83.829672,-1736628.041362
-89.500000,-115.500002,83.799053,-1736605.732990
-89.500000,-114.500002,83.764262,-1736584.140212
-89.500000,-113.500002,83.725077,-1736563.469559
-89.500000,-112.500002,83.681292,-1736543.931886
-89.500000,-111.500002,83.632719,-1736525.740470
-89.500000,-110.500002,83.579189,-1736509.109044
-89.500000,-109.500002,83.520554,-1736494.249777
-89.500000,-108.500002,83.456686,-1736481.371225
-89.500000,-107.500002,83.387481,-1736470.676273
-89.500000,-106.500002,83.312858,-1736462.360090
-89.500000,-105.500002,83.232760,-1736456.608103
-89.500000,-104.500002,83.147155,-1736453.594039
-89.500000,-103.500002,83.056035,-1736453.478022
-89.500000,-102.500002,82.959420,-1736456.404773
-89.500000,-101.500002,82.857353,-1736462.501919
-89.500000,-100.500002,82.749903,-1736471.878428
-89.500000,-99.500002,82.637164,-1736484.623201
-89.500000,-98.500002,82.519254,-1736500.803828
