lat,lon,deltaN,topo
-89.500000,0.500000,87.023562,-569.232321
-89.500000,1.500000,87.035470,-543.178360
-89.500000,2.500000,87.043465,-516.746566
-89.500000,3.500000,87.047672,-490.063888
-89.500000,4.500000,87.048222,-463.249504
-89.500000,5.500000,87.045272,-436.418285
-89.500000,6.500000,87.038980,-409.679868
-89.500000,7.500000,87.029522,-383.136883
-89.500000,8.500000,87.017051,-356.888132
-89.500000,9.500000,87.001766,-331.022434
-89.500000,10.500000,86.983827,-305.622355
-89.500000,11.500000,86.963398,-280.767608
-89.500000,12.500000,86.940648,-256.525212
-89.500000,13.500000,86.915704,-232.956404
-89.500000,14.500000,86.888715,-210.120607
-89.500000,15.500000,86.859811,-188.063284
-89.500000,16.500000,86.829088,-166.824080
-89.500000,17.500000,86.796645,-146.441551
-89.500000,18.499999,86.762559,-126.939922
-89.500000,19.499999,86.726900,-108.336985
-89.500000,20.499999,86.689699,-90.649632
-89.500000,21.499999,86.650969,-73.880603
-89.500000,22.499999,86.610740,-58.025166
-89.500000,23.499999,86.568986,-43.077342
-89.500000,24.499999,86.525708,-29.017621
-89.500000,25.499999,86.480866,-15.817940
-89.500000,26.499999,86.434422,-3.448331
-89.500000,27.499999,86.386345,8.133584
-89.500000,28.499999,86.336581,18.979292
-89.500000,29.499999,86.285083,29.142818
-89.500000,30.499999,86.231832,38.688817
-89.500000,31.499999,86.176790,47.690509
-89.500000,32.499999,86.119931,56.223885
-89.500000,33.499999,86.061260,64.373041
-89.500000,34.499999,86.000792,72.228517
-89.500000,35.499999,85.938556,79.883189
-89.500000,36.499999,85.874649,87.434816
-89.500000,37.499999,85.809151,94.983703
-89.500000,38.499999,85.742206,102.631281
-89.500000,39.499999,85.674010,110.480169
-89.500000,40.499999,85.604749,118.630021
-89.500000,41.499999,85.534700,127.179709
-89.500000,42.499999,85.464172,136.225496
-89.500000,43.499999,85.393535,145.854083
-89.500000,44.499999,85.323200,156.149060
-89.500000,45.499999,85.253635,167.187880
-89.500000,46.499999,85.185363,179.031653
-89.500000,47.499999,85.118964,191.735947
-89.500000,48.499999,85.055082,205.347300
-89.500000,49.499999,84.994376,219.889992
-89.500000,50.499999,84.937584,235.380622
-89.500000,51.499999,84.885523,251.824653
-89.500000,52.499999,84.839014,269.201395
-89.500000,53.499999,84.798943,287.480910
-89.500000,54.499998,84.766210,306.620795
-89.500000,55.499998,84.741771,326.551632
-89.500000,56.499998,84.726625,347.193950
-89.500000,57.499998,84.721771,368.455039
-89.500000,58.499998,84.728224,390.218114
-89.500000,59.499998,84.747034,412.356343
-89.500000,60.499998,84.779232,434.729086
-89.500000,61.499998,84.825856,457.178782
-89.500000,62.499998,84.887926,479.538479
-89.500000,63.499998,84.966467,501.626999
-89.500000,64.499998,85.062460,523.257091
-89.500000,65.499998,85.176856,544.233270
-89.500000,66.499998,85.310538,564.346482
-89.500000,67.499998,85.464398,583.393650
-89.500000,68.499998,85.639169,601.166206
-89.500000,69.499998,85.835605,617.443469
-89.500000,70.499998,86.054354,632.022709
-89.500000,71.499998,86.295976,644.700085
-89.500000,72.499998,86.560951,655.261714
-89.500000,73.499998,86.849648,663.522442
-89.500000,74.499998,87.162363,669.301787
-89.500000,75.499998,87.499225,672.411695
-89.500000,76.499998,87.860344,672.701470
-89.500000,77.499998,88.245641,670.031776
-89.500000,78.499998,88.654906,664.258336
-89.500000,79.499998,89.087879,655.279976
-89.500000,80.499998,89.544132,643.013777
-89.500000,81.499998,90.023123,627.374363
-89.500000,82.499998,90.524191,608.321919
-89.500000,83.499998,91.046547,585.841080
-89.500000,84.499998,91.589308,559.916078
-89.500000,85.499998,92.151452,530.575785
-89.500000,86.499998,92.731858,497.878053
-89.500000,87.499998,93.329294,461.881707
-89.500000,88.499998,93.942432,422.686177
-89.500000,89.499998,94.569827,380.421835
-89.500000,90.499997,95.209999,335.220582
-89.500000,91.499997,95.861336,287.248360
-89.500000,92.499997,96.522218,236.700796
-89.500000,93.499997,97.190846,183.774767
-89.500000,94.499997,97.865425,128.692995
-89.500000,95.499997,98.544151,71.703094
-89.500000,96.499997,99.225131,13.052998
-89.500000,97.499997,99.906438,-46.992278
-89.500000,98.499997,100.586170,-108.151006
-89.500000,99.499997,101.262362,-170.142390
-89.500000,100.499997,101.933042,-232.676739
-89.500000,101.499997,102.596288,-295.458651
-89.500000,102.499997,103.250114,-358.194776
-89.500000,103.499997,103.892671,-420.589448
-89.500000,104.499997,104.522014,-482.354183
-89.500000,105.499997,105.136314,-543.203087
-89.500000,106.499997,105.733744,-602.852132
-89.500000,107.499997,106.312535,-661.038143
-89.500000,108.499997,106.870964,-717.500138
-89.500000,109.499997,107.407404,-771.980364
-89.500000,110.499997,107.920263,-824.255266
-89.500000,111.499997,108.407994,-874.101988
-89.500000,112.499997,108.869214,-921.299441
-89.500000,113.499997,109.302561,-965.672865
-89.500000,114.499997,109.706738,-1007.045661
-89.500000,115.499997,110.080577,-1045.239134
-89.500000,116.499997,110.422963,-1080.131235
-89.500000,117.499997,110.732959,-1111.594818
-89.500000,118.499997,111.009644,-1139.495090
-89.500000,119.499997,111.252222,-1163.762181
-89.500000,120.499997,111.459999,-1184.317382
-89.500000,121.499997,111.632371,-1201.068933
-89.500000,122.499997,111.768882,-1213.994899
-89.500000,123.499997,111.869132,-1223.060750
-89.500000,124.499997,111.932851,-1228.218325
-89.500000,125.499997,111.959860,-1229.485047
-89.500000,126.499996,111.950097,-1226.867676
-89.500000,127.499996,111.903604,-1220.358410
-89.500000,128.499996,111.820522,-1210.009316
-89.500000,129.499996,111.701095,-1195.864861
-89.500000,130.499996,111.545673,-1177.955012
-89.500000,131.499996,111.354727,-1156.363179
-89.500000,132.499996,111.128807,-1131.169043
-89.500000,133.499996,110.868551,-1102.438874
-89.500000,134.499996,110.574735,-1070.285656
-89.500000,135.499996,110.248137,-1034.822821
-89.500000,136.499996,109.889679,-996.152314
-89.500000,137.499996,109.500420,-954.415876
-89.500000,138.499996,109.081437,-909.759516
-89.500000,139.499996,108.633921,-862.320137
-89.500000,140.499996,108.159098,-812.267283
-89.500000,141.499996,107.658322,-759.777484
-89.500000,142.499996,107.132932,-705.020538
-89.500000,143.499996,106.584395,-648.191416
-89.500000,144.499996,106.014224,-589.492980
-89.500000,145.499996,105.423969,-529.123299
-89.500000,146.499996,104.815249,-467.297852
-89.500000,147.499996,104.189662,-404.238579
-89.500000,148.499996,103.548935,-340.163822
-89.500000,149.499996,102.894699,-275.301473
-89.500000,150.499996,102.228701,-209.881897
-89.500000,151.499996,101.552691,-144.132204
-89.500000,152.499996,100.868365,-78.281476
-89.500000,153.499996,100.177489,-12.554902
-89.500000,154.499996,99.481785,52.826006
-89.500000,155.499996,98.782967,117.644543
-89.500000,156.499996,98.082744,181.696049
-89.500000,157.499996,97.382739,244.780448
-89.500000,158.499996,96.684566,306.707909
-89.500000,159.499996,95.989899,367.309637
-89.500000,160.499996,95.300206,426.422411
-89.500000,161.499996,94.616986,483.896897
-89.500000,162.499995,93.941666,539.613420
-89.500000,163.499995,93.275604,593.458536
-89.500000,164.499995,92.620072,645.334253
-89.500000,165.499995,91.976292,695.179229
-89.500000,166.499995,91.345403,742.938295
-89.500000,167.499995,90.728442,788.571203
-89.500000,168.499995,90.126402,832.078566
-89.500000,169.499995,89.540130,873.466137
-89.500000,170.499995,88.970437,912.752219
-89.500000,171.499995,88.418021,949.996544
-89.500000,172.499995,87.883510,985.261915
-89.500000,173.499995,87.367415,1018.619927
-89.500000,174.499995,86.870172,1050.180146
-89.500000,175.499995,86.392171,1080.052210
-89.500000,176.499995,85.933666,1108.350018
-89.500000,177.499995,85.494862,1135.218110
-89.500000,178.499995,85.075898,1160.797466
-89.500000,179.499995,84.676815,1185.228654
-89.500000,180.499995,84.297612,1208.672419
-89.500000,181.499995,83.938232,1231.281972
-89.500000,182.499995,83.598567,1253.206372
-89.500000,183.499995,83.278462,1274.601749
-89.500000,184.499995,82.977709,1295.613616
-89.500000,185.499995,82.696115,1316.379822
-89.500000,186.499995,82.433431,1337.032635
-89.500000,187.499995,82.189393,1357.691149
-89.500000,188.499995,81.963718,1378.463397
-89.500000,189.499995,81.756149,1399.442240
-89.500000,190.499995,81.566431,1420.705031
-89.500000,191.499995,81.394288,1442.315467
-89.500000,192.499995,81.239508,1464.316361
-89.500000,193.499995,81.101859,1486.733564
-89.500000,194.499995,80.981149,1509.577810
-89.500000,195.499995,80.877228,1532.837382
-89.500000,196.499995,80.790005,1556.483611
-89.500000,197.499995,80.719349,1580.472579
